ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	PP_INST_DT	Type	BreakYear	BreakDate	ValidBreak	FailureNotes	Failure_ID	BreakAge
5681	6	Cast Iron	1929	Cast Iron	1929	6	1	1929-08-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5682	8	Cast Iron	1907	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5683	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5684	8	Cast Iron	1915	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5685	8	Cast Iron	1915	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5686	6	Cast Iron	1908	Ductile Iron	1908	6	1	1908-11-06 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5687	4	Cast Iron	1907	Cast Iron	NULL	4	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5688	6	Cast Iron	1915	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5689	6	Cast Iron	1930	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5690	6	Cast Iron	1930	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5691	6	Cast Iron	1930	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5692	6	Cast Iron	1930	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5693	6	Cast Iron	1930	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5694	16	Cast Iron	1907	Cast Iron	NULL	16	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5695	12	Cast Iron	1907	Cast Iron	NULL	12	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5696	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5697	6	Cast Iron	1900	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5698	8	Cast Iron	1900	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5699	10	Cast Iron	1900	Cast Iron	NULL	10	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5700	6	Cast Iron	1930	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5701	16	Cast Iron	1907	Cast Iron	NULL	16	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5702	8	Cast Iron	1920	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5703	6	Cast Iron	1938	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5704	8	Cast Iron	1929	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5705	8	Cast Iron	1929	Cast Iron	1929	8	1	1929-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5706	6	Cast Iron	1938	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5707	6	Cast Iron	1920	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5708	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5709	6	Cast Iron	1931	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5710	6	Ductile Iron	1998	Cast Iron	1998	6	1	1998-05-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5711	6	Ductile Iron	1998	Cast Iron	1998	6	1	1998-05-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5712	6	Cast Iron	1931	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5713	8	Cast Iron	1907	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5714	8	Cast Iron	1907	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5715	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5716	12	Cast Iron	1907	Cast Iron	NULL	12	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5717	12	Ductile Iron	1983	Cast Iron	1983	12	1	1983-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5718	12	Cast Iron	1907	Cast Iron	NULL	12	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5719	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5720	12	Cast Iron	1929	Cast Iron	NULL	12	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5721	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5722	12	Cast Iron	1929	Cast Iron	1929	12	1	1929-08-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5723	12	Cast Iron	1907	Cast Iron	NULL	12	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5724	12	Cast Iron	1929	Cast Iron	1929	12	1	1929-08-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5725	6	Cast Iron	1929	Cast Iron	1929	6	1	1929-08-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5726	6	Cast Iron	1931	Cast Iron	1931	6	1	1931-05-20 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5727	1.5	Galvanized	1907	Galvanized	NULL	1.5	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5728	4	Cast Iron	1907	Cast Iron	NULL	4	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5729	8	Cast Iron	1907	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5730	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5731	6	Cast Iron	1920	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5732	2	Cast Iron	1899	unknown	NULL	2	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5733	6	Cast Iron	1929	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5734	6	Cast Iron	1929	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5735	6	Cast Iron	1929	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5736	6	Cast Iron	1929	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5737	6	Ductile Iron	1983	Cast Iron	1983	6	1	1983-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5738	6	Cast Iron	1932	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5739	6	Cast Iron	1900	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5740	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5741	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5742	6	Cast Iron	1900	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5743	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5744	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5745	6	Cast Iron	1930	Cast Iron	1930	6	1	1930-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5746	6	Cast Iron	1930	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5747	6	Cast Iron	1930	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5748	6	Cast Iron	1931	Cast Iron	1931	6	1	1931-10-05 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5749	6	Cast Iron	1930	unknown	NULL	6	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5750	2	Cast Iron	1930	unknown	NULL	2	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5751	6	Cast Iron	1923	Cast Iron	NULL	6	1	NULL	Distribution	2017	2017-01-18 00:00:00.000	1	Corrosion, Other	2678	94
5752	16	Cast Iron	1907	Cast Iron	NULL	16	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5753	16	Cast Iron	1907	Cast Iron	NULL	16	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5754	6	Cast Iron	1908	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5755	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5756	12	Cast Iron	1907	Cast Iron	NULL	12	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5757	6	Cast Iron	1908	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5758	16	Cast Iron	1908	Cast Iron	NULL	16	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5759	6	Cast Iron	1908	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5760	6	Cast Iron	1911	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5761	6	Cast Iron	1911	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5762	12	Cast Iron	1930	Cast Iron	NULL	12	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5763	6	Cast Iron	1929	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5764	6	Cast Iron	1915	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5765	6	Cast Iron	1932	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5766	6	Cast Iron	1932	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5767	6	Cast Iron	1932	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5768	6	Cast Iron	1935	Cast Iron	1935	6	1	1935-07-29 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5769	6	Cast Iron	1917	Cast Iron	1917	6	1	1917-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5770	6	Cast Iron	1935	Cast Iron	1935	6	1	1935-07-29 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5771	6	Cast Iron	1932	Cast Iron	1932	6	1	1932-06-02 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5772	6	Cast Iron	1942	Cast Iron	1942	6	1	1942-06-04 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5773	6	Cast Iron	1942	Cast Iron	1942	6	1	1942-06-04 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5774	6	Cast Iron	1942	unknown	1942	6	1	1942-06-04 00:00:00.000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5775	6	Cast Iron	1942	Cast Iron	1942	6	1	1942-06-04 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5776	6	Cast Iron	1941	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5777	6	Cast Iron	1941	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5778	6	Cast Iron	1941	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5779	6	Cast Iron	1907	Cast Iron	1907	6	1	1907-01-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5780	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5781	4	Cast Iron	1907	Cast Iron	NULL	4	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5782	6	Cast Iron	1959	Cast Iron	1959	6	1	1959-05-13 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5783	6	Cast Iron	1959	Cast Iron	1959	6	1	1959-05-13 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5784	6	Cast Iron	1935	Cast Iron	1935	6	1	1935-03-10 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5785	6	Cast Iron	1907	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5786	12	Cast Iron	1954	Cast Iron	1954	12	1	1954-01-13 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5787	6	Cast Iron	1935	Cast Iron	1935	6	1	1935-03-10 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
