ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	INSTALLDAT	BreakYear	BreakDate	Failure_ID	BreakAge
46	2	CI	1950	CI	1950	2	1	1950-07-04 00:00:00.0000000	2022	2022-12-25 19:43:51.000	1933	72
47	6	PVC	1989	PVC	1989	6	1	1989-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
48	2	GS	1955	GS	1955	2	1	1955-07-08 00:00:00.0000000	NULL	NULL	NULL	NULL
49	8	PVC	1998	PVC	1998	8	1	1998-07-08 00:00:00.0000000	NULL	NULL	NULL	NULL
50	8	PVC	1995	PVC	1995	8	1	1995-05-02 00:00:00.0000000	NULL	NULL	NULL	NULL
51	10	PVC	1995	PVC	1995	10	1	1995-03-16 00:00:00.0000000	NULL	NULL	NULL	NULL
52	10	PVC	1995	PVC	1995	10	1	1995-03-16 00:00:00.0000000	NULL	NULL	NULL	NULL
53	12	PVC	1995	PVC	1995	12	1	1995-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL
54	12	PVC	1995	PVC	1995	12	1	1995-03-07 00:00:00.0000000	2020	2020-12-05 18:37:49.000	1731	25
55	12	PVC	1995	PVC	1995	12	1	1995-03-27 00:00:00.0000000	2019	2019-12-09 07:38:06.000	2887	24
56	8	PVC	1987	PVC	1987	8	1	1987-01-16 00:00:00.0000000	NULL	NULL	NULL	NULL
57	8	CI	1950	DI	1950	8	0	1950-07-04 00:00:00.0000000	NULL	NULL	NULL	NULL
58	1.5	GS	1990	GS	1990	1.5	1	1990-07-08 00:00:00.0000000	NULL	NULL	NULL	NULL
59	1.5	GS	1990	GS	1990	1.5	1	1990-07-08 00:00:00.0000000	NULL	NULL	NULL	NULL
60	10	PVC	2001	PVC	2001	10	0	2001-06-20 00:00:00.0000000	NULL	NULL	NULL	NULL
61	1.5	GS	1970	GS	1970	1.5	1	1970-06-21 00:00:00.0000000	NULL	NULL	NULL	NULL
62	8	PVC	1990	PVC	1990	8	1	1990-07-01 00:00:00.0000000	NULL	NULL	NULL	NULL
63	8	PVC	1990	PVC	1990	8	0	1990-06-18 00:00:00.0000000	NULL	NULL	NULL	NULL
64	12	PVC	1983	PVC	1983	12	0	1983-07-08 00:00:00.0000000	NULL	NULL	NULL	NULL
65	8	CI	1960	CI	1960	8	1	1960-06-25 00:00:00.0000000	NULL	NULL	NULL	NULL
66	12	CSC	1964	CSC	1964	12	1	1964-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
67	12	CSC	1964	CSC	1964	12	1	1964-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
68	2	PVC	1995	PVC	1995	2	1	1995-06-28 00:00:00.0000000	NULL	NULL	NULL	NULL
69	2	CI	1960	CI	1960	2	1	1960-06-28 00:00:00.0000000	2017	2017-08-31 08:06:50.000	2810	57
70	18	CSC	1974	CSC	1974	18	1	1974-02-14 00:00:00.0000000	NULL	NULL	NULL	NULL
71	8	CI	1950	CI	1950	8	1	1950-07-04 00:00:00.0000000	NULL	NULL	NULL	NULL
72	18	DI	1989	DI	1989	18	1	1989-06-17 00:00:00.0000000	NULL	NULL	NULL	NULL
73	18	DI	1989	DI	1989	18	1	1989-06-17 00:00:00.0000000	NULL	NULL	NULL	NULL
74	18	DI	1989	DI	1989	18	1	1989-06-17 00:00:00.0000000	NULL	NULL	NULL	NULL
