Failure_ID	ID	BreakDate	BreakYear	SourceTxt_ID	Material	InstallYear	Age	RR_Diameter	Length(ft)	OrgDiameter	OrgMaterial	OrgInstallYear	Status	BreakAge
2214	7175	00:00.0	2006	39-MAINW-S-G16	Cast Iron	1935	90	6	347.73	6	Cast Iron	1935	1	71
2588	7175	00:00.0	2015	39-MAINW-S-G16	Cast Iron	1935	90	6	347.73	6	Cast Iron	1935	1	80
2599	7175	00:00.0	2015	39-MAINW-S-G16	Cast Iron	1935	90	6	347.73	6	Cast Iron	1935	1	80
1961	7176	00:00.0	2001	39-27THS-S-A14	Cast Iron	1935	90	4	787.57	4	Cast Iron	1935	1	66
2261	7176	00:00.0	2007	39-27THS-S-A14	Cast Iron	1935	90	4	787.57	4	Cast Iron	1935	1	72
2293	7176	00:00.0	2008	39-27THS-S-A14	Cast Iron	1935	90	4	787.57	4	Cast Iron	1935	1	73
2321	7176	00:00.0	2008	39-27THS-S-A14	Cast Iron	1935	90	4	787.57	4	Cast Iron	1935	1	73
2418	7176	00:00.0	2010	39-27THS-S-A14	Cast Iron	1935	90	4	787.57	4	Cast Iron	1935	1	75
2546	7178	00:00.0	2014	39-MAINW-S-G46	Cast Iron	1935	90	6	344.37	6	Cast Iron	1935	1	79
2601	7182	00:00.0	2015	39-MAINW-S-G36	Cast Iron	1935	90	6	313.37	6	Cast Iron	1935	1	80
2520	7184	00:00.0	2013	58-ROSE-A-A14	Galvanized	1931	94	0.75	485.61	0.75	Galvanized	1931	0	82
2888	7185	00:00.0	2021	46-prie-s-a16	Cast Iron	1908	117	6	283.95	6	Ductile Iron	1908	1	113
2564	7192	00:00.0	2014	46-HOLL-S-D16	Galvanized	1908	117	0.75	285.22	0.75	Galvanized	1908	0	106
2225	7196	00:00.0	2006	26-MEGGM-D-A28	Ductile Iron	1994	31	8	551.96	8	Ductile Iron	1994	1	12
2380	7199	00:00.0	2009	48-10thn-s-a26	Cast Iron	1908	117	6	610.17	6	Cast Iron	1908	1	101
2793	7202	00:00.0	2019	46-PLYM-P-A16	Cast Iron	1973	52	6	265.12	6	Cast Iron	1973	1	46
2482	7207	00:00.0	2012	45-MTVE-R-A1012	Cast Iron	1952	73	12	905.41	12	Cast Iron	1952	1	60
2631	7211	00:00.0	2016	45-MTVE-R-X1012	Cast Iron	1928	97	12	187.69	12	Cast Iron	NULL	1	88
2688	7214	00:00.0	2017	48-LOCUW-S-C16	Cast Iron	1930	95	6	463.43	6	Cast Iron	1930	1	87
2868	7225	00:00.0	2021	48-WILS-S-D14	Copper	1907	118	1	324.34	1	Copper	1907	1	114
2130	7238	00:00.0	2004	49-SERO-A-A46	Cast Iron	1930	95	6	409.14	6	Ductile Iron	1930	1	74
1935	7240	00:00.0	2000	35-GOOS-R-E26	Ductile Iron	1980	45	6	268.6	6	Cast Iron	1980	1	20
2209	7240	00:00.0	2006	35-GOOS-R-E26	Ductile Iron	1980	45	6	268.6	6	Cast Iron	1980	1	26
2561	7240	00:00.0	2014	35-GOOS-R-E26	Ductile Iron	1980	45	6	268.6	6	Cast Iron	1980	1	34
2855	7241	00:00.0	2020	35-GOOS-R-E36	Ductile Iron	1980	45	6	370.54	6	Cast Iron	1980	1	40
2226	7249	00:00.0	2006	46-CHANE-S-B16	Cast Iron	1908	117	6	236.67	6	Cast Iron	1908	1	98
2665	7256	00:00.0	2016	48-WALN-S-B14	Galvanized	1907	118	1.5	248.53	1.5	Galvanized	1907	1	109
2577	7292	00:00.0	2014	57-RIVE-D-Z16	Cast Iron	1958	67	6	351.1	6	Cast Iron	1958	1	56
2673	7292	00:00.0	2017	57-RIVE-D-Z16	Cast Iron	1958	67	6	351.1	6	Cast Iron	1958	1	59
2803	7292	00:00.0	2019	57-RIVE-D-Z16	Cast Iron	1958	67	6	351.1	6	Cast Iron	1958	1	61
2749	7294	00:00.0	2018	48-CHURW-S-E110	Cast Iron	1938	87	10	1116.3	10	Cast Iron	1938	1	80
1967	7309	00:00.0	2001	58-BOLE-C-A14	Ductile Iron	2007	18	6	419.9	6	Ductile Iron	2007	1	-6
2864	7313	00:00.0	2021	58-MORR-S-A16	Cast Iron	1920	105	6	165.58	6	Cast Iron	1920	1	101
2865	7313	00:00.0	2021	58-MORR-S-A16	Cast Iron	1920	105	6	165.58	6	Cast Iron	1920	1	101
2705	7339	00:00.0	2017	46-KREI-S-A16	Cast Iron	1940	85	6	365.07	6	Cast Iron	1940	1	77
2357	7340	00:00.0	2009	46-KREI-S-A26	Cast Iron	1940	85	6	433.89	6	Cast Iron	1940	1	69
2839	7341	00:00.0	2020	47-CLIN-S-A14	Galvanized	1909	116	2	292.93	2	Galvanized	1909	1	111
2841	7341	00:00.0	2020	47-CLIN-S-A14	Galvanized	1909	116	2	292.93	2	Galvanized	1909	1	111
2453	7348	00:00.0	2011	47-CENT-A-A56	Cast Iron	1910	115	6	320.57	6	Cast Iron	1910	1	101
2872	7348	00:00.0	2021	47-CENT-A-A56	Cast Iron	1910	115	6	320.57	6	Cast Iron	1910	1	111
2900	7352	00:00.0	2022	47-MAPL-A-B14	Galvanized	1913	112	2	274.53	2	Galvanized	1913	1	109
2909	7352	00:00.0	2022	47-MAPL-A-B14	Galvanized	1913	112	2	274.53	2	Galvanized	1913	1	109
2910	7352	00:00.0	2022	47-MAPL-A-B14	Galvanized	1913	112	2	274.53	2	Galvanized	1913	1	109
2243	7369	00:00.0	2007	48-14THN-S-A26	Cast Iron	1956	69	2	872.84	2	Cast Iron	1956	1	51
1948	7371	00:00.0	2001	68-PHIL-A-A12	Galvanized	1961	64	2	674.48	2	Galvanized	1961	1	40
2007	7371	00:00.0	2002	68-PHIL-A-A12	Galvanized	1961	64	2	674.48	2	Galvanized	1961	1	41
2422	7371	00:00.0	2010	68-PHIL-A-A12	Galvanized	1961	64	2	674.48	2	Galvanized	1961	1	49
2691	7371	00:00.0	2017	68-PHIL-A-A12	Galvanized	1961	64	2	674.48	2	Galvanized	1961	1	56
2740	7371	00:00.0	2018	68-PHIL-A-A12	Galvanized	1961	64	2	674.48	2	Galvanized	1961	1	57
2763	7371	00:00.0	2019	68-PHIL-A-A12	Galvanized	1961	64	2	674.48	2	Galvanized	1961	1	58
2809	7371	00:00.0	2019	68-PHIL-A-A12	Galvanized	1961	64	2	674.48	2	Galvanized	1961	1	58
2637	7395	00:00.0	2016	47-PARK-A-B16	Cast Iron	1916	109	6	351.84	6	Cast Iron	1916	1	100
1970	7445	00:00.0	2001	59-SPRI-S-A26	Cast Iron	1900	125	6	745.04	6	Cast Iron	1900	1	101
2300	7448	00:00.0	2008	48-MAINW-S-L26	Cast Iron	1920	105	6	308.15	6	Cast Iron	1920	1	88
