ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Failure_ID	BreakAge
57021	16	DI	1989	CI	NULL	16	1	NULL	NULL	NULL	NULL	NULL
57022	6	DI	1981	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57023	6	DI	1981	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57024	16	DI	1989	CI	NULL	16	1	NULL	NULL	NULL	NULL	NULL
57025	8	DI	1975	DI	NULL	8	1	NULL	NULL	NULL	NULL	NULL
57026	8	DI	1985	DI	NULL	8	1	NULL	NULL	NULL	NULL	NULL
57032	6	DI	1981	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
57033	6	DI	1981	DI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57034	6	DI	1987	DI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57035	6	DI	1987	DI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57036	16	DI	1989	DI	NULL	16	1	NULL	NULL	NULL	NULL	NULL
57037	6	CI	1920	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57038	10	CI	1920	DI	NULL	10	1	NULL	NULL	NULL	NULL	NULL
57039	6	DI	2004	DI	2004	6	0	2004-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
57040	8	DI	1985	DI	NULL	8	1	NULL	NULL	NULL	NULL	NULL
57041	6	CI	1963	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57042	6	CI	1963	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57043	6	CI	1952	CI	NULL	6	1	NULL	2012	2012-11-23 00:00:00.000	4641	60
57043	6	CI	1952	CI	NULL	6	1	NULL	2005	2005-12-12 00:00:00.000	4909	53
57044	6	CI	1953	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57045	6	CI	1952	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57046	6	CI	1952	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
57047	6	CI	1952	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57048	6	CI	1954	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57049	6	CI	1952	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57050	6	CI	1952	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
57051	6	CI	1957	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
57052	6	CI	1963	CI	NULL	6	1	NULL	2021	2021-02-22 00:00:00.000	4436	58
