ID	Diameter	Material	InstallYear	OrgMaterial	OrgDiameter	Status	INSTALL_DATE	BreakYear	BreakDate	Failure_ID	BreakAge
67373	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67374	6	DI	2017	DI	6	1	2017	NULL	NULL	NULL	NULL
67375	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67376	8	DI	2017	DI	8	1	2017	NULL	NULL	NULL	NULL
67377	6	CI	1946	CI	6	1	1946	NULL	NULL	NULL	NULL
67378	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67379	8	DI	2017	DI	8	1	2017	NULL	NULL	NULL	NULL
67380	6	DI	2017	DI	6	1	2017	NULL	NULL	NULL	NULL
67381	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67382	6	DI	2017	DI	6	1	2017	NULL	NULL	NULL	NULL
67383	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67384	6	DI	2017	DI	6	1	2017	NULL	NULL	NULL	NULL
67385	6	DI	2017	DI	6	1	2017	NULL	NULL	NULL	NULL
67386	8	DI	2017	DI	8	1	2017	NULL	NULL	NULL	NULL
67387	6	DI	2017	DI	6	1	2017	NULL	NULL	NULL	NULL
67388	8	DI	2017	DI	8	1	2017	NULL	NULL	NULL	NULL
67389	6	CI	1946	CI	6	1	1946	NULL	NULL	NULL	NULL
67390	6	DI	2017	DI	6	1	2017	NULL	NULL	NULL	NULL
67391	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67392	8	DI	1987	DI	8	1	1987	NULL	NULL	NULL	NULL
67393	6	DI	2017	DI	6	1	2017	NULL	NULL	NULL	NULL
67394	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67395	8	DI	2017	DI	8	1	2017	NULL	NULL	NULL	NULL
67402	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67404	8	DI	2017	DI	8	1	2017	NULL	NULL	NULL	NULL
67405	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67406	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67407	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67408	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67409	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67410	6	DI	2017	DI	6	1	2017	NULL	NULL	NULL	NULL
67411	12	DI	2017	DI	12	1	2017	NULL	NULL	NULL	NULL
67412	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67413	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67414	16	DI	2017	DI	16	1	2017	NULL	NULL	NULL	NULL
67415	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67416	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67417	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67418	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67419	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67420	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67421	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67422	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67423	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
