ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Description	Failure_ID	BreakAge
42610	6	DI	2020	DI	2020	6	0	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42624	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42634	6	PVC	2020	PVC	2020	6	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
42640	8	PVC	2020	PVC	2020	8	1	2020-08-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41725	2	GAL	1988	GAL	1988	2	0	1988-07-22 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41727	2	GAL	1981	GAL	1981	2	0	1981-06-22 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41729	2	GAL	1971	GAL	1971	2	0	1971-10-08 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41742	8	DI	1971	CI	1971	8	1	1971-10-29 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41744	12	CI	1970	CI	1970	12	1	1970-02-11 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41749	6	DI	2011	DI	2011	6	0	2011-08-12 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41751	8	PVC	2011	PVC	2011	8	1	2011-08-12 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41761	8	PVC	2007	PVC	2007	8	1	2007-11-13 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41767	2	GAL	1987	GAL	1987	2	0	1987-12-05 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41769	8	CI	1967	CI	1967	8	1	1967-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41771	4	CI	1955	CI	1955	4	1	1955-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41779	12	DI	1970	DI	1970	12	1	1970-02-11 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41781	6	CI	1955	CI	1955	6	1	1955-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41788	8	PVC	1980	PVC	NULL	8	1	NULL	NULL	NULL	NULL	NULL	NULL
41792	8	PVC	2008	PVC	2008	8	0	2008-06-27 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41798	8	CI	1967	CI	1967	8	0	1967-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
41800	8	DI	1967	DI	1967	8	1	1967-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35532	16	CI	1965	CI	1965	16	1	1965-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35537	6	CI	1923	CI	1923	6	1	1923-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35547	8	CI	1944	CI	1944	8	1	1944-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35549	8	CI	1935	CI	1935	8	1	1935-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35559	6	DI	1965	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
35568	6	CI	1944	CI	1944	6	1	1944-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35572	6	CI	1930	CI	1930	6	1	1930-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35581	8	CI	1956	CI	1956	8	1	1956-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35595	6	CI	1915	CI	1915	6	1	1915-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35601	6	CI	1955	CI	1955	6	1	1955-03-09 00:00:00.0000000	2017	2017-01-07 11:19:00.000	Water Main Repair	1900	62
35621	6	CI	1930	CI	1930	6	1	1930-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35630	2	CI	1923	CI	1923	2	0	1923-06-01 00:00:00.0000000	2019	2019-05-06 09:11:00.000	Water Main Leak	2853	96
35630	2	CI	1923	CI	1923	2	0	1923-06-01 00:00:00.0000000	2021	2021-03-03 10:19:00.000	Water Main Leak	3477	98
35630	2	CI	1923	CI	1923	2	0	1923-06-01 00:00:00.0000000	2014	2014-07-08 09:57:00.000	Water Main Repair	1042	91
35630	2	CI	1923	CI	1923	2	0	1923-06-01 00:00:00.0000000	2014	2014-07-24 08:23:00.000	Water Main Repair	1051	91
35630	2	CI	1923	CI	1923	2	0	1923-06-01 00:00:00.0000000	2019	2019-12-12 09:40:00.000	Water Main Repair	3050	96
35639	8	CI	1954	CI	1954	8	1	1954-07-16 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35648	36	CON	1972	CON	1972	36	1	1972-04-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35679	6	CI	1956	CI	1956	6	0	1956-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35681	8	DI	1995	CI	1995	8	1	1995-10-19 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35706	6	CI	1956	CI	1956	6	0	1956-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35709	8	CI	1915	CI	1915	8	1	1915-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35729	6	CI	1914	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
35745	6	CI	1923	CI	1923	6	0	1923-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35747	6	CI	1967	CI	1967	6	0	1967-06-01 00:00:00.0000000	2019	2019-09-17 09:52:00.000	Water Main Leak	2966	52
35747	6	CI	1967	CI	1967	6	0	1967-06-01 00:00:00.0000000	2019	2019-09-18 06:38:00.000	Water Main Leak	2969	52
35747	6	CI	1967	CI	1967	6	0	1967-06-01 00:00:00.0000000	2019	2019-09-19 09:04:00.000	Water Main Leak	2973	52
35748	6	CI	1944	CI	1944	6	0	1944-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35752	6	CI	1930	CI	1930	6	0	1930-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35754	8	CI	1923	CI	1923	8	1	1923-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35764	6	CI	1944	CI	1944	6	0	1944-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35769	6	CI	1914	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
35787	6	CI	1914	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
35793	6	CI	1914	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
35795	6	CI	1956	CI	1956	6	0	1956-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35800	8	CI	1915	CI	1915	8	1	1915-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35803	8	CI	1923	CI	1923	8	1	1923-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35814	6	CI	1915	CI	1915	6	1	1915-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35816	6	DI	1999	CI	1999	6	1	1999-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35828	6	DI	1975	PVC	1975	6	1	1975-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35838	2	ST	1995	ST	1995	2	0	1995-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35846	6	CI	1923	CI	1923	6	1	1923-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35857	6	DI	1965	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
